Date,State,Market,Crop,Variety,Min_Price,Max_Price,Modal_Price
2025-04-17,Maharashtra,Mumbai,Potato,Local,1870,2270,2070
2025-07-20,Maharashtra,Pune,Soybean,Local,2385,2785,2585
2025-05-02,Maharashtra,Aurangabad,Tomato,Local,2951,3351,3151
2026-05-09,Maharashtra,Aurangabad,Tomato,Local,2406,2806,2606
2025-12-16,Maharashtra,Nashik,Soybean,Local,4282,4682,4482
2025-12-04,Maharashtra,Nashik,Wheat,Local,3753,4153,3953
2025-01-11,Maharashtra,Aurangabad,Rice,Local,2999,3399,3199
2025-04-24,Maharashtra,Pune,Soybean,Local,4478,4878,4678
2026-02-19,Maharashtra,Pune,Tomato,Local,4477,4877,4677
2026-05-11,Maharashtra,Mumbai,Rice,Local,4091,4491,4291
2025-02-10,Maharashtra,Mumbai,Potato,Local,1364,1764,1564
2026-01-11,Maharashtra,Nagpur,Rice,Local,1176,1576,1376
2025-10-22,Maharashtra,Nagpur,Onion,Local,1700,2100,1900
2025-07-09,Maharashtra,Pune,Rice,Local,3555,3955,3755
2025-08-08,Maharashtra,Nagpur,Wheat,Local,2369,2769,2569
2025-04-29,Maharashtra,Mumbai,Rice,Local,2564,2964,2764
2025-11-23,Maharashtra,Mumbai,Potato,Local,4685,5085,4885
2025-04-14,Maharashtra,Pune,Onion,Local,2872,3272,3072
2025-12-09,Maharashtra,Nashik,Soybean,Local,1813,2213,2013
2025-01-30,Maharashtra,Aurangabad,Tomato,Local,4366,4766,4566
2025-03-15,Maharashtra,Nagpur,Onion,Local,3740,4140,3940
2025-03-03,Maharashtra,Mumbai,Potato,Local,3536,3936,3736
2025-03-05,Maharashtra,Aurangabad,Wheat,Local,1273,1673,1473
2026-05-09,Maharashtra,Mumbai,Wheat,Local,2835,3235,3035
2026-05-11,Maharashtra,Nagpur,Rice,Local,1620,2020,1820
2025-01-04,Maharashtra,Aurangabad,Onion,Local,3162,3562,3362
2025-08-01,Maharashtra,Aurangabad,Rice,Local,4535,4935,4735
2025-05-20,Maharashtra,Pune,Soybean,Local,3411,3811,3611
2025-06-15,Maharashtra,Mumbai,Onion,Local,2399,2799,2599
2026-02-17,Maharashtra,Nagpur,Potato,Local,2466,2866,2666
2025-06-26,Maharashtra,Aurangabad,Potato,Local,3097,3497,3297
2025-06-24,Maharashtra,Aurangabad,Onion,Local,2139,2539,2339
2025-02-24,Maharashtra,Aurangabad,Soybean,Local,2721,3121,2921
2025-08-20,Maharashtra,Nagpur,Potato,Local,2820,3220,3020
2025-10-03,Maharashtra,Pune,Rice,Local,2806,3206,3006
2025-05-13,Maharashtra,Pune,Wheat,Local,3603,4003,3803
2025-07-29,Maharashtra,Aurangabad,Tomato,Local,3679,4079,3879
2025-11-15,Maharashtra,Nagpur,Onion,Local,3581,3981,3781
2025-11-08,Maharashtra,Aurangabad,Onion,Local,3148,3548,3348
2025-07-05,Maharashtra,Nashik,Rice,Local,4764,5164,4964
2025-04-14,Maharashtra,Mumbai,Soybean,Local,3683,4083,3883
2025-11-30,Maharashtra,Aurangabad,Onion,Local,3194,3594,3394
2026-02-16,Maharashtra,Pune,Wheat,Local,2891,3291,3091
2025-11-12,Maharashtra,Nagpur,Onion,Local,1364,1764,1564
2026-02-07,Maharashtra,Pune,Potato,Local,2216,2616,2416
2026-03-05,Maharashtra,Mumbai,Potato,Local,2166,2566,2366
2025-05-24,Maharashtra,Nagpur,Tomato,Local,4096,4496,4296
2026-01-21,Maharashtra,Nashik,Onion,Local,2238,2638,2438
2025-04-17,Maharashtra,Nagpur,Tomato,Local,4304,4704,4504
2025-12-14,Maharashtra,Nashik,Soybean,Local,975,1375,1175
2025-05-23,Maharashtra,Mumbai,Wheat,Local,923,1323,1123
2026-04-07,Maharashtra,Nagpur,Onion,Local,1225,1625,1425
2026-01-18,Maharashtra,Aurangabad,Soybean,Local,1921,2321,2121
2026-03-19,Maharashtra,Nashik,Soybean,Local,2278,2678,2478
2025-10-20,Maharashtra,Mumbai,Soybean,Local,1525,1925,1725
2025-08-17,Maharashtra,Nagpur,Tomato,Local,2285,2685,2485
2026-05-16,Maharashtra,Pune,Onion,Local,3644,4044,3844
2025-06-25,Maharashtra,Nagpur,Wheat,Local,3870,4270,4070
2025-03-12,Maharashtra,Aurangabad,Onion,Local,2837,3237,3037
2025-07-19,Maharashtra,Nashik,Soybean,Local,2946,3346,3146
2025-02-27,Maharashtra,Nagpur,Potato,Local,3537,3937,3737
2025-12-21,Maharashtra,Nagpur,Potato,Local,1156,1556,1356
2026-03-29,Maharashtra,Aurangabad,Onion,Local,1795,2195,1995
2026-01-12,Maharashtra,Pune,Potato,Local,3985,4385,4185
2025-07-13,Maharashtra,Nashik,Tomato,Local,4795,5195,4995
2025-05-07,Maharashtra,Pune,Soybean,Local,2224,2624,2424
2026-04-17,Maharashtra,Pune,Onion,Local,1182,1582,1382
2025-01-30,Maharashtra,Nashik,Soybean,Local,2693,3093,2893
2025-07-13,Maharashtra,Aurangabad,Onion,Local,2422,2822,2622
2025-10-23,Maharashtra,Nagpur,Tomato,Local,3594,3994,3794
2025-11-06,Maharashtra,Aurangabad,Rice,Local,1270,1670,1470
2026-03-20,Maharashtra,Nashik,Tomato,Local,1891,2291,2091
2025-12-16,Maharashtra,Aurangabad,Rice,Local,3580,3980,3780
2025-02-04,Maharashtra,Nagpur,Tomato,Local,1195,1595,1395
2025-03-05,Maharashtra,Nashik,Rice,Local,3774,4174,3974
2025-08-12,Maharashtra,Pune,Wheat,Local,2787,3187,2987
2025-04-14,Maharashtra,Mumbai,Onion,Local,2830,3230,3030
2026-01-15,Maharashtra,Nashik,Soybean,Local,1885,2285,2085
2026-01-28,Maharashtra,Mumbai,Tomato,Local,3356,3756,3556
2026-04-17,Maharashtra,Nashik,Soybean,Local,1836,2236,2036
2026-04-08,Maharashtra,Pune,Potato,Local,2846,3246,3046
2025-08-25,Maharashtra,Nagpur,Onion,Local,4765,5165,4965
2025-07-25,Maharashtra,Mumbai,Rice,Local,3688,4088,3888
2026-03-16,Maharashtra,Pune,Soybean,Local,1451,1851,1651
2025-01-18,Maharashtra,Mumbai,Rice,Local,2796,3196,2996
2025-06-08,Maharashtra,Nashik,Wheat,Local,1028,1428,1228
2026-03-05,Maharashtra,Mumbai,Soybean,Local,3624,4024,3824
2025-06-18,Maharashtra,Mumbai,Onion,Local,2737,3137,2937
2026-01-31,Maharashtra,Nashik,Potato,Local,2331,2731,2531
2026-02-17,Maharashtra,Aurangabad,Tomato,Local,1553,1953,1753
2025-12-15,Maharashtra,Aurangabad,Rice,Local,2883,3283,3083
2025-07-31,Maharashtra,Nagpur,Rice,Local,4053,4453,4253
2025-12-22,Maharashtra,Mumbai,Potato,Local,2298,2698,2498
2025-10-12,Maharashtra,Nashik,Soybean,Local,4409,4809,4609
2025-06-16,Maharashtra,Pune,Onion,Local,3065,3465,3265
2025-12-12,Maharashtra,Mumbai,Rice,Local,3453,3853,3653
2025-07-18,Maharashtra,Nagpur,Potato,Local,1626,2026,1826
2025-02-18,Maharashtra,Nagpur,Tomato,Local,805,1205,1005
2026-03-01,Maharashtra,Mumbai,Soybean,Local,3963,4363,4163
2026-04-10,Maharashtra,Nagpur,Wheat,Local,1065,1465,1265
2025-07-04,Maharashtra,Nagpur,Wheat,Local,1109,1509,1309
2025-02-09,Maharashtra,Nashik,Soybean,Local,3875,4275,4075
2025-11-07,Maharashtra,Pune,Potato,Local,4404,4804,4604
2025-04-06,Maharashtra,Pune,Tomato,Local,2167,2567,2367
2025-06-29,Maharashtra,Nagpur,Onion,Local,3010,3410,3210
2026-05-07,Maharashtra,Mumbai,Tomato,Local,4796,5196,4996
2026-02-15,Maharashtra,Nashik,Rice,Local,4111,4511,4311
2026-02-23,Maharashtra,Nagpur,Soybean,Local,3920,4320,4120
2025-05-04,Maharashtra,Aurangabad,Onion,Local,3979,4379,4179
2025-07-12,Maharashtra,Nagpur,Rice,Local,1304,1704,1504
2026-02-08,Maharashtra,Nagpur,Onion,Local,1800,2200,2000
2026-02-12,Maharashtra,Nagpur,Soybean,Local,4024,4424,4224
